SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Amended Planting Soil,119343,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Organic Mulch,27684,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Gravel Mulch,5472,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Lawn,Moderate Management Lawn,43827,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-43318,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Small Shrub,-194215,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Medium Shrub,-423819,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Large Shrub,-196346,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Small Shrub,-145340,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Medium Shrub,-329689,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Large Shrub,-7909,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-185526,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Medium Tree,-27599,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Small Tree,-1930,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Large Tree,-52361,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Medium Tree,-14574,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Deciduous Medium (~11-15yrs),-3730,kgCO₂e
Carbon Impact,Operational Emissions,Landscape Water Use,Moderate Water Use,239306,kgCO₂e
Benefits,Biodiversity,Landscape Water Use,Native Ecosystems Protected,0,%
Benefits,Biodiversity,Landscape Water Use,Native Ecosystems Removed,0,%
Benefits,Biodiversity,Landscape Water Use,Native Ecosystem Impact,0,%
Benefits,Biodiversity,Landscape Water Use,Native Ecosystem Restored,0,m2
Benefits,Biodiversity,Landscape Water Use,Native Ecosystem Removed,0,m2
Benefits,Biodiversity,Ecosystem Protection,Native Planting Impact,0,%
Benefits,Biodiversity,Ecosystem Protection,Native Tres Planted,93,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Trees Removed,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Shrubs Planted,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Perennials Planted,1145,m2
Benefits,Water,Biodiversity Net Impact,Average Annual Potential Evapotranspiration (ETo),1456,mm/yr
Benefits,Water,Biodiversity Net Impact,Total Planted Area,3196,m²
Benefits,Water,Biodiversity Net Impact,Annual Baseline,4653177,L/y
Benefits,Water,Biodiversity Net Impact,Maximum Water Allowance,3257224,L/yr
Benefits,Water,Biodiversity Net Impact,Annual Site Water Usage,3323698,L/yr
Benefits,Water,Evapotranspiration,Reduction From Baseline,29,%
Benefits,Cooling,Heat Island,Severe Heat Area,0,
Benefits,Cooling,Shade,Broad Biome,0,
Benefits,Cooling,Shade,Total Area Shaded By Trees,10885,m²
Benefits,Cooling,Shade,Percentage of Site Shaded By Trees,52,%
Benefits,Cooling,Shade,Total Area of Shade Structures,0,m²
Benefits,Cooling,Shade,Percent of Area Shaded by Structures,0,%
Benefits,Equity,Overburdened and Underserved Communities,Underserved Community,0,
Benefits,Equity,Overburdened and Underserved Communities,Community Engagement,0,
