SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Furnishings,BERG picnic table,1648,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Green Infrastructure,Swale,144227,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Infrastructure Subsurface,Gravel,99982,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Infrastructure Subsurface,Electrical Conduit,11077,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Infrastructure Subsurface,Irrigation Lateral Line,4788,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Steel Guardrail,14345,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Steel Handrail,1119,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Decking,25565,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Wood Post,20762,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Salvaged Wood,342,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Steel Guardrail,6735,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Planting Accessories,Metal Edge Restraint,9130,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Site Elements,Stone Boulders,4613,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Amended Planting Soil,88228,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Biofiltration Soil 70-15-15,48058,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Ecosystem Restoration,Temperate Continental Forest,-384523,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Lawn,Moderate Management Lawn,55593,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-297923,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-74328,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Large Shrub,-167760,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Large Shrub,-23340,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-423290,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Medium Tree,-10720,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Medium Tree,-41745,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-90998,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Large Tree,-59275,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Deciduous Large (~16-20yrs),-675130,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Evergreen Medium (~11-15yrs),-4820,kgCOâ‚‚e
Benefits,Biodiversity,Ecosystem Protection,Native Ecosystems Protected,0,%
Benefits,Biodiversity,Ecosystem Protection,Native Ecosystems Removed,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Impact,100,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Restored,5953,m2
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Removed,0,m2
Benefits,Biodiversity,Biodiversity Net Impact,Native Planting Impact,100,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Tres Planted,335,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Trees Removed,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Shrubs Planted,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Perennials Planted,0,m2
Benefits,Water,Evapotranspiration,Average Annual Potential Evapotranspiration (ETo),1490,mm/yr
Benefits,Water,Landscape Water Use,Total Planted Area,0,mÂ²
Benefits,Water,Landscape Water Use,Annual Baseline,0,L/y
Benefits,Water,Landscape Water Use,Maximum Water Allowance,0,L/yr
Benefits,Water,Landscape Water Use,Annual Site Water Usage,0,L/yr
Benefits,Water,Landscape Water Use,Reduction From Baseline,0,%
Benefits,Cooling,Heat Island,Severe Heat Area,0,
Benefits,Cooling,Shade,Broad Biome,0,
Benefits,Cooling,Shade,Total Area Shaded By Trees,66932,mÂ²
Benefits,Cooling,Shade,Percentage of Site Shaded By Trees,293,%
Benefits,Cooling,Shade,Total Area of Shade Structures,0,mÂ²
Benefits,Cooling,Shade,Percent of Area Shaded by Structures,0,%
Benefits,Equity,Overburdened and Underserved Communities,Underserved Community,0,
Benefits,Equity,Overburdened and Underserved Communities,Community Engagement,0,
